TRUE,question,janru,When,FALSE,FALSE,FALSE,https
CAM(Computer Aided Manufacturing),コンピュータを利用して工作機械を制御することで、製造作業の精度や効率を高めることを何という,ストラテジ,平成24年秋期 問12,MRP(Materials Requirements Planning),CAD(Computer Aided Design),HDD(ハードディスク),https://www.itpassportsiken.com/kakomon/24_aki/q12.html
財務,CFOが責任をもつ対象,ストラテジ,平成29年秋期 問23,情報,マネジメント以外,財務以外,https://www.itpassportsiken.com/kakomon/29_aki/q23.html
金融取引に当たり、口座開設時の取引目的や本人確認を徹底し、資金の出所が疑わしい取引かどうかを監視する。,マネーロンダリングの対策に関する記述は？,ストラテジ,令和4年 問29,紙幣の印刷に当たり、コピー機では再現困難な文字や線、傾けることによって絵が浮かび上がるホログラムなどの技術を用いて、複製を困難にする。,IEEE802.3:LAN,ISO9001:品質マネジメント,https://www.itpassportsiken.com/kakomon/04_haru/q29.html
システムの基本方針,ソフトウェアやサービスの取引契約内容の不透明さを取り除くために、発注者が提案依頼書に記載すべき項目とは,ストラテジ,サンプル問題1 問25,プログラム仕様書,開発工数,担当するスクラムマスター,https://www.itpassportsiken.com/kakomon/01_sample/q25.html
消費者,PL法(製造物責任法)の保護の対象,ストラテジ,平成26年春期 問17,メーカー,小売業者,クッキー,https://www.itpassportsiken.com/kakomon/26_haru/q17.html
新システム開発の実施体制,発注元企業がベンダー企業に対して求めるべき提案事項 ,ストラテジ,平成29年春期 問9,デュプレックスシステム,提案内容の評価基準,ハイパネーション,https://www.itpassportsiken.com/kakomon/29_haru/q9.html
(売上総利益)－(販売費及び一般管理費),営業利益はどれ,ストラテジ,令和4年 問30,(売上高)－(売上原価)=売上総利益(粗利益),(経常利益)＋(特別利益)－(特別損失)=税引前当期純利益,(税引前当期純利益)－(法人税、住民税及び事業税),https://www.itpassportsiken.com/kakomon/04_haru/q30.html
流動比率(%)=流動資産/流動負債*100,流動比率とは,ストラテジ,令和4年 問28,流動比率(%)=流動資産/流動負債*100ではない,FAとも呼ばれる工場の自動化を表す言葉,OAとも呼ばれる事務機器や事務作業の自動化を表す言葉。,https://www.itpassportsiken.com/kakomon/04_haru/q28.html
自己資本に対する収益性を表した指標,ROEとは,ストラテジ,平成25年春期 問2,在庫回転率とも呼ばれる売上高に対して在庫が何回転したかを示した指標,営業利益が増えている場合、売上高と営業外収益は+。,減価償却方法を確認する場合定額法を用いて償却する。,https://www.itpassportsiken.com/kakomon/25_haru/q2.html
KGI=goalであり成約件数とも呼ばれるKPI=目標達成のための活動であり提案件数とも呼ばれる。,KGIとKPIとは,ストラテジ,令和5年 問8,前日の在庫の合計金額-現在の出庫の合計金額=現在庫の合計金額,キャッシュフローとも呼ばれる,キャッシュフローの減少要因は売掛金の増加,https://www.itpassportsiken.com/kakomon/05_haru/q8.html
固定費=売上-利益-変動費なので46965,ある商品を5個販売したところ、売上が5万円、利益が3000円となった。商品1個当たりの変動費が7円であるとき、固定費は何円か。,ストラテジ,平成29年春期 問31,固定費=売上-利益-変動費なので1200,固定費=売上-利益-変動費なので3500,固定費=売上-利益-変動費なので5000,https://www.itpassportsiken.com/kakomon/29_haru/q31.html
顧客別のRFM分析,CSFの達成度を評価するために用いる分析とは？,ストラテジ,平成26年春期 問1,新規顧客のデモグラフィック分析,新商品のPOS分析,POS分析では、新商品の売上数、購買層、販売が多い時間帯などを明らかにすることができます,https://www.itpassportsiken.com/kakomon/26_haru/q1.html
開発期間の短縮,コンカレントエンジニアリングの目的,ストラテジ,平成24年秋期 問28,開発した技術の標準化,生産工程の歩留り率向上,自社の技術的な強みを生かした製品開発,https://www.itpassportsiken.com/kakomon/24_aki/q28.html
ディスクロージャー,企業の経営状況を外部に公開することを何というか,ストラテジ,平成22年春期 問19,株式公開,concat,結合,https://www.itpassportsiken.com/kakomon/22_haru/q19.html
システム化対象業務の問題点を分析し、システムで解決する課題を定義する。,システム化計画プロセスで実施する作業とは,ストラテジ,平成31年春期 問6,"経営上のニーズ・課題の確認""は、システム化構想プロセスの作業。",情報システム戦略に連動した経営上の課題やニーズを把握する。,システムの要件（詳細を)定義する。,https://www.itpassportsiken.com/kakomon/31_haru/q6.html
電話応対時に、質問の音声を読み取って解析し、FAQから最適な回答候補を選び出す確度を高める。,コールセンターにおける電話応対業務において、AIを活用し、より有効なFAQシステムを実現する事例とは,ストラテジ,令和5年 問16,受信した電話番号から顧客の情報、過去の問合せの記録を、顧客情報データベースから呼び出してオペレーターの画面に表示する。,クラスタシステム,ほかのコンピュータに処理を肩代わりさせることで、システム全体の処理を停止させないようにするもの,https://www.itpassportsiken.com/kakomon/05_haru/q16.html
住民サービスの向上と行政事務の効率向上を図る。,住民基本台帳ネットワークシステム構築の目的として挙げられているものはどれか。,ストラテジ,平成24年春期 問13,イノベーションが伝統になるまで採用しない、ラガードと呼ばれることがある。,流行に敏感で、情報収集を自ら行い、判断する人。アーリーアダプタとも呼ばれる。,流行に敏感で、情報収集を自ら行い、判断する人。オピニオンリーダーとも呼ばれる。,https://www.itpassportsiken.com/kakomon/24_aki/q13.html
業務の品質を数値化した後ばらつかないようにして業務品質を改善すること,シックスシグマ活動とは,ストラテジ,平成24年春期 問24,職場のメンバでグループを作り、職場内で発生する様々な問題を継続的に解決する,QCサークル,エラーを多くする活動のこと,https://www.itpassportsiken.com/kakomon/24_aki/q24.html
Consumer to Cは人と人が商品を取引すること。,消費者がメーカーや小売店以外の個人から商品を購入する形態は,ストラテジ,平成24年春期 問23,Business to Bは企業と企業の取引,B to Gは企業と行政の取引,B to GはBusiness to Governmentとも呼ばれる,https://www.itpassportsiken.com/kakomon/24_aki/q23.html
比較的早期に自らの価値判断で当該商品を購入し、後続する消費者層に影響を与える層,オピニオンリーダーとは,ストラテジ,平成23年秋期 問8,比較的懐疑的な人。周囲の大多数が試している場面を見てから同じ選択をする。レイトマジョリティとも呼ばれる。,比較的慎重派な人。平均より早くに新しいものを取り入れる。アーリーマジョリティとも呼ばれる。,比較的慎重派な人。平均より早くに新しいものを取り入れる。ブリッジピープルとも呼ばれる。,https://www.itpassportsiken.com/kakomon/24_haru/q8.html
通報したことを理由とした解雇の無効,勤務先の法令違反行為の通報に関して，公益通報者保護法で規定されているもの,ストラテジ,平成31年春期 問4,勤務先の同業他社への転職のあっせん,通報の内容に応じた報奨金の授与,,null
全ての条件を満たしていることが、論理積である。,二科目X、Yの成績を評価して合否を判定する。点数はワークシートのセルA2、B2に入力する。合計点が120点以上であり、2科目とも50点以上であればセルC2に“合格”、それ以外は“不合格”と表示される。論理積について正しい情報は,ストラテジ,平成31年春期 問98,論理和とは一方の条件が満たされているときに成立する。,主記憶装置は低速でDRAMである。,キャッシュメモリはレジスタより遅いと言われています。,null
ITガバナンスの方針,企業の情報システム戦略で明示するもの,ストラテジ,平成30年春期 問4,基幹システムの開発体制,ベンダー提案の評価基準,問題児,null
PPM:個々の事業の戦略的な位置付けを明確にし，経営資源の最適配分を考える。,PPMの適用事例とは,ストラテジ,平成26年春期 問9,PPM:仕事の流れや方法を根本的に見直し，最も望ましい業務の姿に変革する。,BPR:仕事の流れや方法を根本的に見直し，最も望ましい業務の姿に変革する。,BCP:大規模災害などの発生時においても，事業が継続できるように準備する。,null
IEEE802.3:LAN ISO9001:品質マネジメント ISO14001:環境マネジメント,標準化規格とその対象分野の組合せは,ストラテジ,平成23年秋期 問15,IEEE802.3:環境マネジメント ISO9001:品質マネジメント ISO14001:LAN,,,null
セグメントマーケティング,集中すべき顧客層を絞り込むマーケティング戦略として，最も適切なものはどれか。,ストラテジ,令和4年春期 2問,マスマーケティング,サービスマーケティング,MOT,null
EA,現状と理想との乖離を明確にし，目標とする理想像に向けた改善活動を移行計画として定義する最適化の手法とは,ストラテジ,令和4年春期 問7,MOT,技術開発の成果によって事業利益を獲得することを目的とした経営手法,SOAと呼ばれる他のソフトウェアとの連携を容易にする手法,null
企業が保有や出願している特許を，事業への貢献や特許間のシナジー，今後適用が想定される分野などを分析するためにまとめたもの,特許ポートフォリオとは,ストラテジ,令和4年春期 問10,自社製品のシェアと市場の成長率を軸にしたマトリックスに，市場における自社や競争相手の位置付けを示したもの,複数の特許権者同士が，それぞれの保有する特許の実施権を相互に許諾すること,複数の特許権者同士が，保有する特許の実施権を相互に許諾するクロスライセンスと言われることもある。,null
顧客ごとに異なる個別仕様の製品の，多様なITによるコスト低減と短納期での提供,インダストリー4.0から顕著になった取組とは,ストラテジ,令和4年春期 問18,,製造工程のコンピュータ制御に基づく自動化による，大量生産品の更なる低コストでの製造 ,動力の電力や石油への移行とともに，統計的手法を使った科学的生産管理による，同一規格の製品のベルトコンベア方式での大量生産,null
商品の流通在庫の削減や顧客満足の向上し、商品の生産，在庫，販売などの情報を管理すること,SCMシステムを構築する目的は,ストラテジ,令和4年春期 問22,顧客に提供する価値が調達，開発，製造，販売，サービスといった一連の企業活動のどこで生み出されているのかを明確化する,バリューチェーンとも呼ばれる。,stock management,null
業務で必要となる人の役割,アクティビティ図とは,ストラテジ,令和4年春期 問25,業務プロセスを表記するため、DFDとアクティビティ図が必要である。,パレート図は重点的に解消すべき課題を明らかにすることができる。,アライアンスとは自社が保有していない技術やノウハウを，他社から短期間で補完するための手段である。,null
processのようなPoC,想定している効果が得られるかがわからないので，試行して実現性の検証を行うprocessのようなことを何という？,ストラテジ,令和4年 問35,顧客や企業との関係を深め、そしてエンゲージするSoe,Systems of RecordのようなSoR,IoT,null
RFP,調達条件などを明示して提案書の提出を依頼する文書は,ストラテジ,令和2年秋期 問1,システム化の目的や業務概要などを示すことによって，関連する情報の提供を依頼する文書はRFIである。,Raft with problems,リクエスト・フォア・インフォメーション,null
請負契約ではB社に帰属し，派遣契約ではA社に帰属する。,設計までをA社で行ったプログラムの開発を，請負契約に基づきB社に委託して行う形態と，B社から派遣契約に基づき派遣されたC氏が行う形態を検討している。開発されたプログラムの著作権の帰属を会社間の契約で定めていないときの著作権の帰属先は,ストラテジ,令和2年秋期 問12,請負契約ではA社に帰属し，派遣契約ではA社に帰属する。,請負契約ではA社に帰属し，派遣契約ではC社に帰属する。,請負契約ではB社に帰属し，派遣契約ではC社に帰属する。,null
自分には閲覧権限のない人事評価情報を盗み見するために，他人のネットワークIDとパスワードを無断で入手し，自分の手帳に記録した。,不正アクセス禁止法で定められている禁止行為とは,ストラテジ,令和2年秋期 問13,ウェアラブルデバイスでスマートウォッチで血圧や体温などの測定データを取得し，異常を早期に検知した,部門の保管庫に保管されていた人事評価情報が入ったUSBメモリを上司に無断で持ち出し，自分のPCに直接接続してその人事評価情報をコピーした。,ハイパネーションによりシャットダウンする前に、作業内容をHDDなどの補助記憶装置に退避させたこと。,null
被災時にも事業を継続するために，本社機能を代替する支社を規定し，限られた状況で対応すべき重要な業務に絞り，その業務の実施手順を整備する。,BCPの例とは,ストラテジ,令和2年秋期 問26,毎年の予算に本社建物の保険料を組み込み，被災前の本社建物と同規模の建物への移転に備える。,企業間で商取引の情報の書式や通信手順を統一し，電子的に情報交換を行うEDI,企業内の様々なシステムやデータベースにアクセスする入口を提供するEIP,null
Equity(自己資本),ROEのEとは,ストラテジ,令和2年秋期 問30,economi,営業利益,earnings,null
(売上総利益)－(販売費及び一般管理費),営業利益を求める計算式は,ストラテジ,令和2年秋期 問34,(売上高)－(売上原価)=売上総利益,(税引前当期純利益)－(法人税，住民税及び事業税)=当期純利益,(経常利益)＋(特別利益)－(特別損失)=税引前当期純利益,null
特別利益-特別損益は考慮しない,経常利益を決める場合は・・・？,ストラテジ,令和元年秋期 問2,売上高ー売上原価をしない,営業利益+営業外収益-営業外費用をしない,材料調達から商品販売までの流れを一括管理するSCMを使わない,null
企業の存在理由や価値観を明確にすることができる。,企業の経営理念を策定する意義として，最も適切なものは,ストラテジ,令和元年秋期 問12,企業の到達したい将来像を示すことができる。,企業の経営目標を実現するためのシナリオを明確にすることができる。,,null
建築物、工業製品などの設計にコンピュータを用いること Computer Aided Designとも呼ばれます。,CADとは,ストラテジ,令和元年秋期 問14,アナログ信号をデジタル信号に変換する回路 A/D変換器とも呼ばれます。,光を電気信号に変換する撮像素子と呼ばれる。CCDイメージセンサーやCMOSイメージセンサー,文字，画像，音声などのデータを組み合わせて一つのコンテンツを作るオーサリング,null
個人情報の入力業務の委託先の変更,個人情報保護法において，本人に通知又は公表が必要となるもの,ストラテジ,令和元年秋期 問27,利用しなくなった個人情報の削除,SFAが業務の効率化ということを解説すること。,デザイン思考のために利用者の本質的なニーズに基づき，製品やサービスデザインを行うこと,null
ルール化された定型的な操作を人間の代わりに自動で行うソフトウェアが，インターネットで受け付けた注文データを配送システムに転記する。,RPAとは,ストラテジ,令和元年秋期 問33,ロボットが，工場の製造現場で組立てなどの定型的な作業を人間の代わりに自動で行う。,人間の形をしたロボットが，銀行の窓口での接客など非定型な業務を自動で行う。,,null
