TRUE,question,janru,When,FALSE,FALSE,FALSE,null
データの入力者以外の者が、入力されたデータの正しさをチェックする。,完全性を高める例とは,テクノロジ,平成26年秋期 問67,データを外部媒体に保存するときは、暗号化する。,ファイルに読出し用パスワードを設定する場合気密性を高めている。,データを処理するシステムに予備電源を増設する場合可用性を高めています。,null
45,表のA列とB列に0から9までの数字のすべての組合せが入っており、全部で100行ある。表からA列の値がB列の値以下である行をすべて取り除く。残りは何行あるか。,テクノロジ,平成22年春期 問67,35,51,39,null
100,"""0"" から""9""の10種類の文字を使用できるパスワードにおいて、桁数を4桁から6桁に増やすと、総当たり攻撃でパスワードを解読するための最大の試行回数は何倍になるか。",テクノロジ,平成26年春期 問51,20,10000,1000,null
"65,536",2バイトで1文字を表すとき、何種類の文字まで表せるか。,テクノロジ,平成25年秋期 問76,300,32768,8,null
1.5T,1台のHDDの容量が500Gバイトのとき、実効データ容量はおよそ何バイトか。,テクノロジ,平成30年春期 問77,0.5T,1.0T,2.0T,null
HDDをミラーリングで構成する。無停電電源装置を設置するなどして電源を多重化する。,システムの一部に障害が発生した場合でも、正常に処理を実行することができる施策とは,テクノロジ,平成28年春期 問67,冗長化していた複数のネットワーク回線を、より高速な1本の回線にまとめる。,システムの安定稼働後は、保守や点検の頻度をできるだけ減らす。,RFP,null
Mの10の3乗倍は、Gである。,CPUのクロック周波数や通信速度などを表すときに用いられる国際単位系(SI)接頭語に関する記述のうち、適切なものはどれか。,テクノロジ,令和5年 問96,Mの10の6乗倍は、Gである。,Gの10の6乗倍は、Tである。,Tの10の3乗倍は、Gである。,null
Perl,CGIを経由して実行されるプログラムを作成できるスクリプト言語,テクノロジ,平成24年春期 問55,Fortran,SQL,CASL,null
複数のハードディスクに分散してデータを書き込み、高速性や耐故障性を高める。,RAIDの利用目的は,テクノロジ,平成21年秋期 問78,複数のハードディスクを、複数のPCからネットワーク接続によって同時に使用する。,複数のハードディスクを、複数のPCからネットワーク接続によって同時に使用する。,複数のハードディスクを、複数のPCからネットワーク接続によって同時に使用する。,null
クラスタシステム,連携しているコンピュータのどれかに障害が発生した場合には、ほかのコンピュータに処理を肩代わりさせることで、システム全体として処理を停止させないようにするものは,テクノロジ,平成21年春期 問73,デュプレックスシステム,マルチプロセッサシステム,デュアルシステム,null
ディアルシステム,同じ処理を行うシステムを二重に用意、一方に故障が発生したら、故障したシステムを切り離して処理を続行することを何という,テクノロジ,平成28年春期 問75,デュプレックスシステム,プロセスの成熟度を5段階のレベルで定義したモデル,CMMI,null
Webサイトに利用者を誘導して、Webサイトの入力データ処理の欠陥を悪用し、利用者のブラウザで悪意のあるスクリプトを実行する。,クロスサイトスクリプティング攻撃に該当するものは,テクノロジ,non,サーバ内の想定外のファイル名を直接してすることによって、本来許されないファイルを不正に閲覧する。,QRコードの上に悪意のあるQRコードを張り付けること,Webアプリケーションの入力データとしてデータベースへの命令文を構成するデータを入力し、想定外のSQL文を実行する。,null
デュアルシステム,電源供給から出力装置まべてを二重化する高信頼システム設計とは,テクノロジ,平成21年春期 問73,デュプレックスシステム,マルチプロセッサシステム,クラスタシステム,null
デュプレックスシステム,通常使用される主系と、その主系の故障に備えて待機しつつ他の処理を実行している従系の二つから構成されるコンピュータシステムとは,テクノロジ,平成29年秋期 問87,シャットダウンする前に、作業内容をHDDなどの補助記憶装置に退避させた後、次にコンピュータを起動させた際に、作業途中から再開できるようにした仕組み。,ハイパネーション,サーバとクライエントになれるピアツーピア,null
デュプレックスシステム,普段は主系統で業務を行い、主系統で障害が起こったときは副システムで処理を続行することをなんという,テクノロジ,平成21年春期 問73,クラスタシステム,コンピュータのどれかに障害が発生した場合には、ほかのコンピュータに処理を肩代わりさせることで、システム全体として処理を停止させないようにするシステム,金魚,null
ハイパネーション,シャットダウンする前に、作業内容をHDDなどの補助記憶装置に退避させた後、次にコンピュータを起動させた際に、作業途中から再開できるようにした仕組みとは,テクノロジ,平成23年特別 問69,ミラーリング,ストライピング,スタンバイ,null
暗号化や復号を高速に行うことができる。,共通鍵暗号方式の特徴とは,テクノロジ,平成28年秋期 問97,公開鍵暗号方式と同じである,暗号鍵を作れる人は一人である。,3週間後に爆発する。,null
a:B社の公開鍵b:B社の秘密鍵,A社はaを使って暗号化した情報をB社に送信する。B社はA社から受信した情報をbで復号して情報を取り出す。aとｂに入る文は,テクノロジ,令和4年 問60,a:A社の公開鍵b:B社の秘密鍵,a:c社の公開鍵b:c社の公開鍵,a:A社の公開鍵b:B社の秘密鍵,null
暗号化通信、ディジタル署名の検証,公開鍵暗号方式を利用した処理とは,テクノロジ,平成30年秋期 問93,ディジタル署名の付与,電子メールの生成,webサーバの生成,null
サーバ証明書,SSL/TLSによる通信内容の暗号化に必要な物は？,テクノロジ,平成30年春期 問57,ESSID,WPA2,お餅,null
ISMSの監視及びレビュー,情報セキュリティマネジメントシステム(ISMS)のPDCA(計画・実行・点検・処置)において、点検フェーズで実施するものは,テクノロジ,平成24年春期 問62,ISMSの確立,JIS Q 27001 ,ISMSの導入及び運用,null
受容基準と比較できるように、各リスクのレベルを決定する必要がある。,リスク分析とは,テクノロジ,令和4年 問86,リスクを事前に定めたリスク分析の基準とで比較する。,リスク評価,基準となるレベルを作らないこと,null
転送速度が最大のモードは、5Gbpsのスーパースピードモードである,USB3.0の特徴とは,テクノロジ,non,転送速度が最大のモードは、480Mbpsのハイスピードモードである。,USB2.0とUSB3.0は同じである。,,null
次に実行する命令が入っている主記憶のアドレスを保持する。,CPUにおけるプログラムカウンターとは,テクノロジ,平成24年春期 問61,プロセス中心アポローチ,,参加する、加入するといった意味のオプトイン,null
各リスクのレベルを決定する必要がある。この記述はリスク分析と呼ばれている。,リスク分析とは,テクノロジ,令和4年春期 問86,リスクが受容可能かどうかを決定する必要がある。この記述はリスク対応と言われている。,先払いをし、後でお金を使うカードの技術をプリペイドカードと言われている。,銀行ロ座からリアルタイムに代金を直接引き落とすデビットカードがある。,null
動画などの大容量データの通信に適した回線である。,ブロードバンド回線の特徴とは,テクノロジ,平成25年秋期 問62,ADSLモデムを利用することで、CATV網でもブロードバンドインターネットを利用できる。,複数の利用者で広帯域を共有するので、常時接続には適さない。,ブロードバンドルータは、光ファイバ網だけで使用される。,null
光ファイバを使った家庭向けの通信サービスを示す用語,FTTHとは,テクノロジ,平成24年春期 問82,モデムで接続する既存の公衆交換電話網をデジタル化すること,TCP/IP＿ISDN,あらゆるコンピュータや異なるOSで相互に通信することを可能にする通信規格,null
二つの表から、フィールドの値によって関連付けした表を作る。,関係データベースにおける結合操作とは,テクノロジ,令和5年 問100,表から、特定の条件を満たすレコードを抜き出した表を作る。,表から、特定のフィールドを抜き出した表を作る。,速度がどれだけ変化したかを計測する機能、加速度センサーと呼ばれる。,null
IPアドレスの先頭から何ビットをネットワークアドレスに使用するかを定義する。,サブネットマスクの役割とは,テクノロジ,令和5年 問97,コンピュータをLANに接続するだけで、TCP/IPの設定情報を自動的に取得する。,通信相手のドメイン名とIPアドレスを対応付ける。,IPアドレスから、利用しているLAN上のMACアドレスを導き出す。,null
DHCP,IPアドレスから、利用しているLAN上のMACアドレスを導き出すことを何という,テクノロジ,non,サブネットマスク,DNS,255.255.255.0,null
一つのニューロンにおいて，入力された値を基に計算し，次のニューロンに渡す値を出力する。,AIに利用されるニューラルネットワークにおける活性化関数に関する記述とは,令和5年 問91,得られた結果を基に計算し，結果の信頼度を出力する。,中間層に必要なニューロンの数を出力する。 ,最適なニューロンの数を出力する。,null,
メール転送サービスを利用すると、自分名義の複数のメールアドレス宛に届いた電子メールを一つのメールボックスに保存することができる。,電子メールの説明は,テクノロジ,令和5年 問92,接続構成を基に計算し、最適な数を出力する,読出し専用のDVDはDVD-ROMである,PLCは電力線を伝送路として使用することができる。,null
データ消去用ソフトウェアを利用し、ランダムなデータをHDDの全ての領域に複数回書き込む。,HDDを廃棄するときに、HDDからの情報漏えい防止策が書かれたものはどれか,テクノロジ,令和5年 問81,ファイルを消去した後、HDDの論理フォーマットを行う。,オートコレクトを使う。,オートランを使う。,null
キャッシュメモリ×SRAM、主記憶×DRAM、補助記憶×SSD,コンピュータの記憶階層におけるキャッシュメモリ，主記憶及び補助記憶と，それぞれに用いられる記憶装置の組合せとは,テクノロジ,令和元年秋期 問60,キャッシュメモリ×DRAM、主記憶×SRAM、補助記憶×SSD,キャッシュメモリ×SSD、主記憶×SRAM、補助記憶×DRAM,キャッシュメモリ×DRAM、主記憶×SSD、補助記憶×SRAM,null
コミット:あるトランザクションが共有データを更新しようとしたとき，そのデータに対する他のトランザクションからの更新を禁止すること,この文の中で違う説明を選んでください,テクノロジ,令和5年 問66,ロールバック:トランザクションが正常に処理されなかった場合、データベースをトランザクション開始前の状態にすること,結合操作:複数の表を，互いに関係付ける列をキーとして，一つの表にすること,コミット:複数の表を，互いに関係付ける列をキーとして，一つの表にすること,null
スター型,ハブと呼ばれる集線装置を中心として，放射状に複数の通信機器を接続するLANの物理的な接続形態は,テクノロジ,平成30年春期 問58,アドホックネットワーク,アクセスポイントを経由せず，端末同士が相互に通信を行う無線ネットワークで、アドホックネットワークと呼ばれることもある。,第3世代携帯電話よりも高速なデータ通信が可能な，携帯電話の無線通信規格、LTEとも呼ばれる。,null
クレジットカード情報を取り扱う事業者に求められるセキュリティ基準,PCI DSSとは,テクノロジ,令和4年春期 問55,コンピュータなどに内蔵されるセキュリティ関連の処理を行う半導体チップ,サーバやネットワークの通信を監視し，不正なアクセスを検知して攻撃を防ぐシステム,コンピュータやネットワークのセキュリティ事故に対応する組織,null
Android,スマートフォンやタブレットなどの携帯端末に用いられている，OSS(Open Source Software)であるOSはどれか。,テクノロジ,令和4年春期 問64,IOS,Safari,windows,null
