TRUE,question,janru,When,FALSE,FALSE,FALSE,https
改善計画書,システム監査の実施後に、評価結果を受けて被監査部門がまとめるものとは,マネジメント,平成30年春期　問42,システム監査報告書の裏付けとなる監査証拠,"ドメイン名 ""ipa.go.jp"" に属するコンピュータなどのホスト名","""http://""""srv01""= ""ipa.go.jp""""/abc.html""",https://www.itpassportsiken.com/kakomon/30_haru/q42.html
CMMI,プロセスの成熟度を5段階のレベルで定義したモデル,マネジメント,平成24年 春期 ITパスポート 問38,JIS Q 15001,ISMS,ISO 14001,
LOC法,システムのプログラムステップを見積もった後、1人月の標準開発ステップから全体の開発工数を見積もる方法,マネジメント,平成29年春期 問37,システム全体の工数を見積もる方法,wbs法,スケジュールマネジメント計画書,
機能の数を測ることでシステムの規模を見積もる方法,ファンクションポイント法とは,マネジメント,平成29年春期 問37,成果物を作るための各作業の開始予定日と終了予定日を記述している。,スケジュールマネジメント計画書,昨日の数は数えない,
コストマネジメント計画書,プロジェクトが完了するまでのコスト見積り,マネジメント,令和元年秋期 問51,スケジュールマネジメント計画書,成果物を作るための各作業の開始予定日と終了予定日,プロジェクトスコープ,
スケジュールマネジメント計画書,成果物を作るための各作業の開始予定日と終了予定日,マネジメント,令和元年秋期 問51,プロジェクトが完了するまでのコスト見積り,コストマネジメント計画書,プロジェクトスコープ記述書,
ソフトウェア結合テスト。,個々のプログラムを結合し、ソフトウェアが要求どおり動作するかを検証する,マネジメント,平成21年春期 問49,ソフトウェアを階層構造に基づいて機能分割する。,内部設計でのモジュール分割の説明。,プログラム設計,
プロジェクトスコープ,プロジェクトで実施すべき作業,マネジメント,non,プロジェクトスコープ記述書,リスク分析,リスク対応,
プロジェクトスコープ記述書,成果物と作業の一覧及びプロジェクトからの除外事項,マネジメント,令和元年秋期 問51,スコープ,プロジェクトの作業に、顧客が行う運用テストの支援を追加,プロジェクト,
プロジェクトにおけるスコープの変更,プロジェクトの作業に、顧客が行う運用テストの支援を追加するものを説明したものは？,マネジメント,平成30年秋期 問36,プロジェクトに参画する開発メンバの追加,答えはない,プロジェクトの一部の作業の外注先の変更,
